country,code,time,pct_chg,ma5,ma10,ma20,ma60,ema12,ema26,macd,macd_signal,macd_hist,rsi14,boll_upper,boll_lower,atr14,vol_ma5
US,CSCO,2016-06-20,,,,,,21.31,21.31,0.0,0.0,0.0,,,,0.32,
US,CSCO,2016-06-21,-0.093853,,,,,21.306923,21.308519,-0.001595,-0.000319,-0.002553,0.0,,,0.311429,
US,CSCO,2016-06-22,-0.187882,,,,,21.298166,21.304184,-0.006018,-0.001459,-0.009118,0.0,,,0.310612,
US,CSCO,2016-06-23,1.741176,,,,,21.347679,21.327578,0.020101,0.002853,0.034496,57.048458,,,0.315569,
US,CSCO,2016-06-24,-5.041628,21.2,,,,21.221882,21.268498,-0.046616,-0.007041,-0.07915,20.302701,,,0.373742,24659455.0
US,CSCO,2016-06-27,-1.558695,20.98,,,,21.066208,21.190091,-0.123883,-0.030409,-0.186947,16.867697,,,0.379189,26298079.2
US,CSCO,2016-06-28,1.731816,20.834,,,,20.98833,21.143417,-0.155087,-0.055345,-0.199485,30.68182,,,0.379961,27407740.2
US,CSCO,2016-06-29,1.702335,20.766,,,,20.976279,21.126127,-0.149848,-0.074245,-0.151205,41.203594,,,0.381393,28871680.2
US,CSCO,2016-06-30,1.530368,20.688,,,,21.015313,21.133821,-0.118508,-0.083098,-0.070821,48.848419,,,0.387008,30025440.0
US,CSCO,2016-07-01,0.376825,20.844,21.022,,,21.060649,21.146872,-0.086222,-0.083723,-0.004999,50.578465,,,0.377936,25323921.2
US,CSCO,2016-07-05,-0.750821,21.032,21.006,,,21.074396,21.147103,-0.072708,-0.08152,0.017624,47.144143,,,0.372369,23688509.0
US,CSCO,2016-07-06,1.371158,21.208,21.021,,,21.130642,21.168799,-0.038157,-0.072847,0.069381,53.329698,,,0.377914,23727928.8
US,CSCO,2016-07-07,0.093284,21.318,21.042,,,21.181313,21.19037,-0.009057,-0.060089,0.102065,53.731844,,,0.366634,22088410.4
US,CSCO,2016-07-08,1.770736,21.44,21.064,,,21.282649,21.238491,0.044159,-0.03924,0.166797,60.666769,,,0.368303,21981010.4
US,CSCO,2016-07-11,0.595238,21.572,21.208,,,21.388396,21.292676,0.095719,-0.012248,0.215934,62.725123,,,0.365567,22209793.0
US,CSCO,2016-07-12,0.591716,21.762,21.397,,,21.497873,21.352478,0.145395,0.019281,0.252229,64.713739,,,0.355884,22217921.4
US,CSCO,2016-07-13,0.497738,21.916,21.562,,,21.607431,21.415998,0.191433,0.053711,0.275443,66.349645,,,0.344035,20856733.8
US,CSCO,2016-07-14,0.045025,22.068,21.693,,,21.701673,21.475554,0.226119,0.088193,0.275852,66.501688,,,0.338033,21244092.2
US,CSCO,2016-07-15,0.180018,22.152,21.796,,,21.787569,21.533661,0.253908,0.121336,0.265145,67.141237,,,0.329602,19874702.0
US,CSCO,2016-07-18,0.314465,22.224,21.898,21.46,,21.87102,21.592649,0.278371,0.152743,0.251256,68.282467,22.658666,20.261334,0.320344,18962638.2
US,CSCO,2016-07-19,0.044783,22.272,22.017,21.5115,,21.943171,21.648008,0.295162,0.181227,0.227871,68.451042,22.767116,20.255884,0.31032,18234329.8
US,CSCO,2016-07-20,2.372426,22.404,22.16,21.5905,,22.08576,21.738526,0.347233,0.214428,0.265611,75.794086,22.972853,20.208147,0.328868,24660470.6
US,CSCO,2016-07-21,-0.174902,22.526,22.297,21.6695,,22.200258,21.819376,0.380882,0.247719,0.266327,74.386885,23.142598,20.196402,0.323949,25110576.0
US,CSCO,2016-07-22,0.43802,22.66,22.406,21.735,,22.312526,21.901645,0.410882,0.280351,0.26106,75.606225,23.306668,20.163332,0.318667,25430406.2
US,CSCO,2016-07-25,0.261666,22.792,22.508,21.858,,22.416753,21.982264,0.434489,0.311179,0.246621,76.334204,23.4182,20.2978,0.306619,24968266.2
US,CSCO,2016-07-26,0.260983,22.934,22.603,22.0,,22.514176,22.061355,0.45282,0.339507,0.226626,77.071104,23.447259,20.552741,0.30829,25530708.4
US,CSCO,2016-07-27,-0.390456,22.952,22.678,22.12,,22.582764,22.127921,0.454843,0.362574,0.184536,73.380126,23.464083,20.775917,0.302697,20041547.6
US,CSCO,2016-07-28,-0.783972,22.942,22.734,22.2135,,22.613108,22.176224,0.436884,0.377436,0.118896,66.518787,23.464856,20.962144,0.30179,20219102.2
US,CSCO,2016-07-29,0.043898,22.914,22.787,22.2915,,22.640322,22.221689,0.418634,0.385676,0.065916,66.705048,23.480857,21.102143,0.291663,21100622.2
US,CSCO,2016-08-01,0.658183,22.904,22.848,22.373,,22.686426,22.274897,0.41153,0.390847,0.041366,69.450419,23.504125,21.241875,0.291544,22553526.6
US,CSCO,2016-08-02,-0.348736,22.866,22.9,22.4585,,22.71313,22.318238,0.394892,0.391656,0.006473,66.310017,23.457745,21.459255,0.292862,23184926.0
US,CSCO,2016-08-03,0.306212,22.86,22.906,22.533,,22.746495,22.363553,0.382941,0.389913,-0.013943,67.686853,23.434823,21.631177,0.284086,21832826.0
US,CSCO,2016-08-04,0.261666,22.902,22.922,22.6095,,22.783957,22.409957,0.374,0.38673,-0.02546,68.861526,23.384986,21.834014,0.274509,21056026.0
US,CSCO,2016-08-05,0.782949,22.978,22.946,22.676,,22.843348,22.466256,0.377092,0.384803,-0.015421,72.134282,23.402702,21.949298,0.274901,20069246.0
US,CSCO,2016-08-08,-0.086319,23.02,22.962,22.735,,22.890525,22.516904,0.373621,0.382566,-0.01789,71.238355,23.412805,22.057195,0.272408,19385489.8
US,CSCO,2016-08-09,-0.215983,23.068,22.967,22.785,,22.922752,22.560096,0.362656,0.378584,-0.031857,68.933284,23.413824,22.156176,0.274379,18320348.2
US,CSCO,2016-08-10,-0.30303,23.088,22.974,22.826,,22.939252,22.594904,0.344348,0.371737,-0.054778,65.726824,23.404425,22.247575,0.275495,18464712.4
US,CSCO,2016-08-11,0.347373,23.112,23.007,22.8705,,22.965521,22.633059,0.332462,0.363882,-0.062841,67.582706,23.389479,22.351521,0.265102,19551597.8
US,CSCO,2016-08-12,-0.259628,23.088,23.033,22.91,,22.978518,22.663944,0.314574,0.35402,-0.078893,64.750749,23.351588,22.468412,0.256166,18463057.8
US,CSCO,2016-08-15,0.997831,23.114,23.067,22.9575,,23.0249,22.709578,0.315322,0.346281,-0.061917,69.949143,23.339698,22.575302,0.257154,19048009.6
US,CSCO,2016-08-16,-0.214777,23.14,23.104,23.002,,23.056453,22.748127,0.308326,0.33869,-0.060727,67.614679,23.279027,22.724973,0.251643,19896049.6
US,CSCO,2016-08-17,-1.291433,23.12,23.104,23.005,,23.036999,22.761599,0.2754,0.326032,-0.101264,55.620386,23.277507,22.732493,0.275812,27573429.0
US,CSCO,2016-08-18,-0.784998,23.048,23.08,23.001,,22.992845,22.76074,0.232105,0.307246,-0.150282,49.900652,23.285738,22.716262,0.291111,32511343.6
US,CSCO,2016-08-19,0.131868,22.994,23.041,22.9935,,22.9601,22.762167,0.197933,0.285384,-0.174901,50.808607,23.292851,22.694149,0.29246,34851492.6
US,CSCO,2016-08-22,0.395083,22.912,23.013,22.9875,,22.946238,22.770155,0.176084,0.263524,-0.17488,53.529524,23.291663,22.683337,0.292999,36198554.4
US,CSCO,2016-08-23,1.136861,22.892,23.016,22.9915,,22.974509,22.79681,0.1777,0.246359,-0.137319,60.352282,23.300904,22.682096,0.294927,36217335.4
US,CSCO,2016-08-24,0.259403,22.944,23.032,23.003,,23.007662,22.825935,0.181727,0.233433,-0.103411,61.748006,23.323755,22.682245,0.286718,30098037.8
US,CSCO,2016-08-25,0.733075,23.066,23.057,23.032,,23.061868,22.865495,0.196372,0.226021,-0.059296,65.458293,23.371211,22.692789,0.285524,24939362.6
US,CSCO,2016-08-26,0.171233,23.19,23.092,23.0625,,23.113888,22.905088,0.2088,0.222576,-0.027553,66.286898,23.418471,22.706529,0.290129,24134333.6
US,CSCO,2016-08-29,0.769231,23.332,23.122,23.0945,,23.185598,22.955082,0.230516,0.224164,0.012703,69.797953,23.510648,22.678352,0.288692,22618677.6
US,CSCO,2016-08-30,-0.127226,23.416,23.154,23.129,,23.241659,22.99915,0.24251,0.227833,0.029353,68.517181,23.575,22.683,0.281642,21478916.6
US,CSCO,2016-08-31,-0.339703,23.472,23.208,23.156,,23.276789,23.034028,0.242761,0.230819,0.023885,65.087302,23.615713,22.696287,0.278668,20667730.6
US,CSCO,2016-09-01,0.468683,23.516,23.291,23.1855,,23.323437,23.07447,0.248967,0.234449,0.029036,67.496626,23.673659,22.697341,0.278763,19280405.8
US,CSCO,2016-09-02,0.763359,23.588,23.389,23.215,,23.3906,23.12525,0.26535,0.240629,0.049443,71.020838,23.763434,22.666566,0.278137,18690473.6
US,CSCO,2016-09-06,0.126263,23.63,23.481,23.247,,23.452046,23.174491,0.277556,0.248014,0.059083,71.574038,23.848634,22.645366,0.271127,18001430.8
US,CSCO,2016-09-07,-0.252207,23.666,23.541,23.2785,,23.494808,23.21564,0.279169,0.254245,0.049848,68.747418,23.911217,22.645783,0.261047,17252570.8
US,CSCO,2016-09-08,-1.011378,23.67,23.571,23.3015,,23.494069,23.235963,0.258106,0.255017,0.006178,58.752426,23.92984,22.67316,0.262401,17151550.8
US,CSCO,2016-09-09,-1.95828,23.56,23.538,23.2975,,23.422674,23.220706,0.201967,0.244407,-0.08488,45.190906,23.931657,22.663343,0.276515,19045550.8
US,CSCO,2016-09-12,1.910551,23.502,23.545,23.3185,,23.429955,23.239172,0.190782,0.233682,-0.0858,55.719583,23.946267,22.690733,0.304621,19936746.6
US,CSCO,2016-09-13,-1.193012,23.382,23.506,23.314,22.577167,23.393038,23.23553,0.157509,0.218448,-0.121878,49.237597,23.944092,22.683908,0.311434,21129026.6
US,CSCO,2016-09-14,-0.21561,23.264,23.465,23.3095,22.607667,23.354109,23.228454,0.125656,0.199889,-0.148467,48.160177,23.943203,22.675797,0.311331,23190222.0
US,CSCO,2016-09-15,0.99395,23.24,23.455,23.3315,22.642333,23.356554,23.238939,0.117616,0.183435,-0.131638,53.230055,23.941066,22.721934,0.330522,24411727.4
US,CSCO,2016-09-16,-1.497647,23.238,23.399,23.345,22.671833,23.304777,23.222721,0.082056,0.163159,-0.162206,45.877204,23.912996,22.777004,0.339056,26804890.6
US,CSCO,2016-09-19,0.608167,23.176,23.339,23.364,22.6975,23.282503,23.218075,0.064428,0.143413,-0.157969,48.916838,23.877981,22.850019,0.337695,25649087.0
US,CSCO,2016-09-20,0.259067,23.182,23.282,23.3815,22.742333,23.272887,23.218217,0.05467,0.125664,-0.141988,50.207501,23.848716,22.914284,0.324288,24101286.4
US,CSCO,2016-09-21,0.81826,23.236,23.25,23.3955,22.795667,23.293982,23.232424,0.061558,0.112843,-0.10257,54.157445,23.84829,22.94271,0.322553,23463871.0
US,CSCO,2016-09-22,0.982486,23.29,23.265,23.418,22.847,23.347215,23.262614,0.084601,0.107195,-0.045187,58.453954,23.872427,22.963573,0.323085,22312005.6
US,CSCO,2016-09-23,-1.015228,23.366,23.302,23.42,22.8885,23.355336,23.272791,0.082545,0.102265,-0.039439,52.884143,23.87374,22.96626,0.325722,18917182.4
US,CSCO,2016-09-26,-0.897436,23.372,23.274,23.4095,22.921167,23.3299,23.266658,0.063241,0.09446,-0.062437,48.526992,23.874192,22.944808,0.332456,19622792.2
US,CSCO,2016-09-27,1.336783,23.428,23.305,23.4055,22.957667,23.356069,23.283943,0.072126,0.089993,-0.035734,54.488127,23.865608,22.945392,0.343709,20056089.8
US,CSCO,2016-09-28,0.085106,23.45,23.343,23.404,22.997167,23.381289,23.301429,0.07986,0.087967,-0.016212,54.851411,23.862406,22.945594,0.331301,18990409.8
US,CSCO,2016-09-29,-0.382653,23.408,23.349,23.402,23.030333,23.388783,23.310953,0.077831,0.085939,-0.016218,52.80862,23.859585,22.944415,0.324066,18021449.8
US,CSCO,2016-09-30,1.067008,23.464,23.415,23.407,23.067333,23.433586,23.338289,0.095296,0.087811,0.014971,57.539123,23.874337,22.939663,0.323061,20009132.2
US,CSCO,2016-10-03,0.126689,23.568,23.47,23.4045,23.0985,23.476111,23.365823,0.110287,0.092306,0.035963,58.082135,23.864738,22.944262,0.320699,18750922.4
US,CSCO,2016-10-04,-0.463939,23.588,23.508,23.395,23.125667,23.495171,23.38317,0.112001,0.096245,0.031512,55.29008,23.830178,22.959822,0.323507,18833929.0
US,CSCO,2016-10-05,0.762712,23.64,23.545,23.3975,23.153667,23.538991,23.412565,0.126426,0.102281,0.048289,58.781767,23.840845,22.954155,0.318256,18027456.2
US,CSCO,2016-10-06,-0.336417,23.694,23.551,23.408,23.1785,23.563761,23.433856,0.129905,0.107806,0.044198,56.663705,23.869198,22.946802,0.317666,17759459.8
US,CSCO,2016-10-07,-0.042194,23.696,23.58,23.441,23.203,23.583183,23.45283,0.130353,0.112315,0.036075,56.390182,23.883353,22.998647,0.314976,14297982.2
US,CSCO,2016-10-10,0.0,23.692,23.63,23.452,23.226833,23.599616,23.470398,0.129218,0.115696,0.027044,56.390182,23.907438,22.996562,0.305335,14035762.2
US,CSCO,2016-10-11,-1.350781,23.646,23.617,23.461,23.244167,23.564291,23.462961,0.101329,0.112823,-0.022986,47.822878,23.902266,23.019734,0.319954,14226079.2
US,CSCO,2016-10-12,-2.267865,23.458,23.549,23.446,23.2525,23.452861,23.416816,0.036045,0.097467,-0.122844,37.626515,23.946336,22.945664,0.356386,19244332.0
US,CSCO,2016-10-13,-0.569177,23.26,23.477,23.413,23.249833,23.338575,23.364459,-0.025884,0.072797,-0.197362,35.62038,24.007276,22.818724,0.356644,21286228.4
US,CSCO,2016-10-14,0.044033,23.066,23.381,23.398,23.248,23.24341,23.316721,-0.073312,0.043575,-0.233774,35.903481,24.044084,22.751916,0.352598,22780609.0
US,CSCO,2016-10-17,0.132042,22.878,23.285,23.3775,23.245,23.1675,23.274742,-0.107242,0.013412,-0.241307,36.801339,24.076353,22.678647,0.344555,23020234.8
US,CSCO,2016-10-18,0.703297,22.786,23.216,23.362,23.243667,23.127885,23.247724,-0.119839,-0.013238,-0.213202,41.507398,24.087385,22.636615,0.344944,22026811.2
US,CSCO,2016-10-19,-0.261894,22.788,23.123,23.334,23.240333,23.085133,23.218263,-0.13313,-0.037217,-0.191826,40.295619,24.092298,22.575702,0.334591,17613011.2
US,CSCO,2016-10-20,-0.656455,22.786,23.023,23.287,23.236,23.025882,23.179873,-0.153991,-0.060572,-0.186839,37.359187,24.079366,22.494634,0.328549,16218758.2
US,CSCO,2016-10-21,0.0,22.782,22.924,23.252,23.234667,22.975746,23.144327,-0.168581,-0.082173,-0.172815,37.359187,24.082243,22.421757,0.320081,15137832.8
US,CSCO,2016-10-24,1.013216,22.818,22.848,23.239,23.237,22.968708,23.128451,-0.159742,-0.097687,-0.124111,44.545481,24.080781,22.397219,0.315789,15169395.0
US,CSCO,2016-10-25,-0.392499,22.804,22.795,23.206,23.235333,22.948907,23.107084,-0.158177,-0.109785,-0.096784,42.491263,24.055974,22.356026,0.308233,15331975.0
US,CSCO,2016-10-26,0.700525,22.834,22.811,23.18,23.237667,22.956768,23.099152,-0.142384,-0.116305,-0.052159,47.156726,24.021736,22.338264,0.314788,15967524.2
US,CSCO,2016-10-27,-0.565217,22.868,22.827,23.152,23.236667,22.943419,23.082178,-0.138759,-0.120796,-0.035927,44.031157,23.995863,22.308137,0.309446,15889697.2
US,CSCO,2016-10-28,0.699606,22.934,22.858,23.1195,23.237333,22.956739,23.078313,-0.121574,-0.120951,-0.001245,48.551003,23.928882,22.310118,0.311628,16850963.6
US,CSCO,2016-10-31,0.303951,22.968,22.893,23.089,23.236167,22.978779,23.079919,-0.10114,-0.116989,0.031698,50.436819,23.851703,22.326297,0.313655,18672976.8
US,CSCO,2016-11-01,-0.692641,22.988,22.896,23.056,23.232667,22.972813,23.069555,-0.096742,-0.11294,0.032396,46.262743,23.78372,22.32828,0.325537,19129836.8
US,CSCO,2016-11-02,-0.261552,22.964,22.899,23.011,23.229,22.958534,23.055514,-0.09698,-0.109748,0.025536,44.766568,23.661258,22.360742,0.32657,19362907.6
US,CSCO,2016-11-03,-0.262238,22.954,22.911,22.967,23.2255,22.937221,23.038068,-0.100847,-0.107968,0.014241,43.259888,23.539227,22.394773,0.320386,19165095.6
US,CSCO,2016-11-04,-0.394391,22.894,22.914,22.919,23.219167,22.905341,23.015248,-0.109907,-0.108356,-0.003104,41.029212,23.393253,22.444747,0.34393,18880529.6
US,CSCO,2016-11-07,2.463704,22.932,22.95,22.899,23.223167,22.964519,23.0356,-0.071081,-0.100901,0.059639,56.172701,23.262257,22.535743,0.365792,18847671.6
US,CSCO,2016-11-08,0.214684,23.012,23.0,22.8975,23.224167,23.022286,23.058149,-0.035863,-0.087893,0.10406,57.228806,23.253133,22.541867,0.364664,19219214.4
US,CSCO,2016-11-09,1.156812,23.158,23.061,22.936,23.2305,23.112703,23.099026,0.013677,-0.067579,0.162512,62.485789,23.406549,22.465451,0.381474,23097243.0
US,CSCO,2016-11-10,-1.143583,23.262,23.108,22.9675,23.237333,23.147672,23.116876,0.030796,-0.047904,0.1574,55.181716,23.45727,22.47773,0.40494,27578859.0
US,CSCO,2016-11-11,1.156812,23.438,23.166,23.012,23.251667,23.218799,23.153404,0.065395,-0.025244,0.181279,60.192784,23.561785,22.462215,0.405301,28504122.4
US,CSCO,2016-11-14,0.0,23.502,23.217,23.055,23.2655,23.278984,23.187226,0.091758,-0.001844,0.187204,60.192784,23.648852,22.461148,0.394208,28475419.2
US,CSCO,2016-11-15,1.058873,23.606,23.309,23.1025,23.282,23.368371,23.237061,0.13131,0.024787,0.213046,64.459944,23.787361,22.417639,0.396765,29427496.4
US,CSCO,2016-11-16,-0.3772,23.638,23.398,23.1485,23.292667,23.43016,23.276538,0.153622,0.050554,0.206136,61.887948,23.881256,22.415744,0.389139,27134095.8
US,CSCO,2016-11-17,-4.838031,23.494,23.378,23.1445,23.283167,23.30552,23.227906,0.077615,0.055966,0.043297,39.951918,23.887803,22.401197,0.467058,34515513.2
US,CSCO,2016-11-18,0.442087,23.316,23.377,23.1455,23.2725,23.21544,23.190283,0.025157,0.049804,-0.049294,41.881027,23.886458,22.404542,0.452982,37635169.4
US,CSCO,2016-11-21,-0.440141,23.118,23.31,23.13,23.2595,23.123834,23.14804,-0.024206,0.035002,-0.118416,40.48051,23.900714,22.359286,0.437769,38547991.4
US,CSCO,2016-11-22,-0.530504,22.846,23.226,23.113,23.2415,23.027859,23.100037,-0.072177,0.013566,-0.171487,38.803603,23.92257,22.30343,0.425071,39069811.4
US,CSCO,2016-11-23,-0.577778,22.566,23.102,23.0815,23.221833,22.92665,23.04596,-0.11931,-0.013009,-0.212602,37.014712,23.952873,22.210127,0.415423,38549743.4
US,CSCO,2016-11-25,1.251676,22.572,23.033,23.0705,23.208167,22.884089,23.01663,-0.132541,-0.036915,-0.191251,43.099272,23.957686,22.183314,0.418607,27035062.0
US,CSCO,2016-11-28,-0.573951,22.532,22.924,23.045,23.1905,22.828075,22.979842,-0.151767,-0.059886,-0.183763,41.113434,23.964119,22.125881,0.403707,23579125.6
US,CSCO,2016-11-29,-0.26643,22.5,22.809,23.013,23.168833,22.771448,22.941335,-0.169887,-0.081886,-0.176003,40.19295,23.966165,22.059835,0.391299,22793530.6
US,CSCO,2016-11-30,-0.044524,22.49,22.668,22.9885,23.1465,22.721995,22.90494,-0.182946,-0.102098,-0.161695,40.03208,23.972599,22.004401,0.378349,22684650.6
US,CSCO,2016-12-01,-1.247216,22.45,22.508,22.953,23.1205,22.637072,22.8505,-0.213428,-0.124364,-0.178128,35.720959,23.999444,21.906556,0.37561,22984530.6
US,CSCO,2016-12-02,-0.67659,22.324,22.448,22.913,23.096,22.542138,22.788982,-0.246844,-0.14886,-0.195967,33.631445,24.035143,21.790857,0.372352,24862650.6
US,CSCO,2016-12-05,0.953678,22.266,22.399,22.888,23.082667,22.494117,22.747576,-0.253459,-0.16978,-0.167358,39.010319,24.04701,21.72899,0.364327,24742035.4
US,CSCO,2016-12-06,-0.674764,22.19,22.345,22.8275,23.0595,22.430407,22.698126,-0.267719,-0.189367,-0.156703,36.721031,24.022035,21.632965,0.357589,25501708.4
US,CSCO,2016-12-07,2.128623,22.21,22.35,22.788,23.048833,22.448806,22.687153,-0.238348,-0.199164,-0.078368,47.180439,23.964241,21.611759,0.370619,26292748.4
US,CSCO,2016-12-08,0.0,22.286,22.368,22.735,23.039,22.464374,22.676994,-0.21262,-0.201855,-0.02153,47.180439,23.852363,21.617637,0.366289,25367488.4
US,CSCO,2016-12-09,0.354767,22.408,22.366,22.6995,23.026667,22.489855,22.673513,-0.183658,-0.198215,0.029115,48.849451,23.782301,21.616699,0.358697,24225988.4
US,CSCO,2016-12-12,0.353513,22.504,22.385,22.6545,23.0215,22.523723,22.676216,-0.152492,-0.189071,0.073157,50.532772,23.653789,21.655211,0.342361,23510381.8
US,CSCO,2016-12-13,1.409071,22.694,22.442,22.6255,23.019333,22.601612,22.702422,-0.10081,-0.171419,0.141218,56.674678,23.542462,21.708538,0.343621,23050542.4
US,CSCO,2016-12-14,-0.434216,22.77,22.49,22.579,23.0145,22.652133,22.719279,-0.067146,-0.150564,0.166836,54.401512,23.317861,21.840139,0.354791,22525722.4
US,CSCO,2016-12-15,0.566943,22.872,22.579,22.5435,23.008667,22.714882,22.744518,-0.029636,-0.126378,0.193485,56.825854,23.094364,21.992636,0.34802,22434562.4
US,CSCO,2016-12-16,-0.130095,22.952,22.68,22.564,22.9985,22.763362,22.765665,-0.002303,-0.101563,0.198521,56.084798,23.153861,21.974139,0.347447,27337262.4
US,CSCO,2016-12-19,0.521059,23.04,22.772,22.5855,22.994333,22.822845,22.794134,0.02871,-0.075509,0.208438,58.42056,23.225734,21.945266,0.340487,27515400.6
US,CSCO,2016-12-20,-0.647948,23.034,22.864,22.6045,22.991167,22.850099,22.809383,0.040716,-0.052264,0.185959,54.517172,23.269766,21.939234,0.338309,25999860.0
US,CSCO,2016-12-21,-0.434783,23.028,22.899,22.6245,22.981167,22.857776,22.816096,0.041681,-0.033475,0.150311,52.021693,23.299969,21.949031,0.329144,23386449.8
US,CSCO,2016-12-22,0.131004,23.002,22.937,22.6525,22.971333,22.868888,22.824533,0.044355,-0.017909,0.124527,52.720884,23.329874,21.975126,0.318491,21790789.8
US,CSCO,2016-12-23,0.218055,22.992,22.972,22.669,22.963833,22.885982,22.836049,0.049933,-0.004341,0.108547,53.926031,23.36124,21.97676,0.306456,14449209.4
US,CSCO,2016-12-27,0.522193,22.982,23.011,22.698,22.954167,22.918908,22.855601,0.063307,0.009189,0.108236,56.773855,23.411123,21.984877,0.300995,13648609.4
US,CSCO,2016-12-28,-0.865801,22.962,22.998,22.72,22.940667,22.915999,22.85889,0.057109,0.018773,0.076672,51.104307,23.429535,22.010465,0.301638,12558015.6
US,CSCO,2016-12-29,0.131004,22.968,22.998,22.744,22.9295,22.918153,22.864157,0.053996,0.025817,0.056356,51.880548,23.44783,22.04017,0.292235,11859345.8
US,CSCO,2016-12-30,-0.784998,22.932,22.967,22.773,22.912333,22.892283,22.855701,0.036582,0.02797,0.017223,47.053779,23.425782,22.120218,0.297076,13310191.6
US,CSCO,2017-01-03,1.054945,22.934,22.963,22.8215,22.9005,22.907317,22.865649,0.041667,0.03071,0.021915,53.293342,23.380724,22.262276,0.295142,15950792.0
US,CSCO,2017-01-04,-0.565463,22.886,22.934,22.853,22.886667,22.900037,22.865231,0.034806,0.031529,0.006555,49.865386,23.341962,22.364038,0.295489,17571892.0
US,CSCO,2017-01-05,0.218723,22.888,22.925,22.8945,22.873667,22.90157,22.868547,0.033023,0.031828,0.00239,51.16643,23.231159,22.557841,0.290097,18841952.2
US,CSCO,2017-01-06,0.218245,22.894,22.931,22.915,22.866833,22.910559,22.875321,0.035238,0.03251,0.005456,52.49409,23.21296,22.61704,0.286518,19827480.8
US,CSCO,2017-01-09,-0.174216,22.928,22.93,22.9335,22.868167,22.912012,22.878631,0.033381,0.032684,0.001393,51.292661,23.180018,22.686982,0.279624,19225175.6
US,CSCO,2017-01-10,0.65445,22.944,22.939,22.9555,22.874167,22.936317,22.892806,0.043511,0.034849,0.017323,55.413686,23.165593,22.745407,0.283937,18960263.8
US,CSCO,2017-01-11,-0.736888,22.952,22.919,22.965,22.877167,22.93073,22.893339,0.037391,0.035358,0.004067,50.226995,23.144833,22.785167,0.28437,18962328.2
US,CSCO,2017-01-12,-0.393013,22.932,22.91,22.954,22.878167,22.912156,22.887166,0.02499,0.033284,-0.016588,47.68245,23.143251,22.764749,0.283343,19010043.2
US,CSCO,2017-01-13,0.087681,22.906,22.9,22.949,22.876833,22.899517,22.882931,0.016585,0.029944,-0.026718,48.309148,23.145662,22.752338,0.274533,19252714.6
US,CSCO,2017-01-17,-0.262812,22.876,22.902,22.9345,22.8755,22.879591,22.874566,0.005025,0.024961,-0.039871,46.509215,23.138899,22.730101,0.277067,20213721.4
US,CSCO,2017-01-18,0.131752,22.822,22.883,22.923,22.877167,22.867346,22.869043,-0.001696,0.019629,-0.042651,47.561259,23.13047,22.71553,0.269419,19149321.2
US,CSCO,2017-01-19,-0.131579,22.796,22.874,22.904,22.878333,22.85237,22.861706,-0.009336,0.013836,-0.046345,46.574775,23.093673,22.714327,0.265175,18064257.8
US,CSCO,2017-01-20,0.395257,22.806,22.869,22.897,22.877167,22.853544,22.86158,-0.008036,0.009462,-0.034995,49.929992,23.082267,22.711733,0.260519,18892916.4
US,CSCO,2017-01-23,0.568679,22.838,22.872,22.9015,22.879667,22.874537,22.871092,0.003445,0.008258,-0.009627,54.386112,23.09116,22.71184,0.253339,18896656.4
US,CSCO,2017-01-24,1.087429,22.932,22.904,22.917,22.883667,22.930762,22.898419,0.032343,0.013075,0.038536,61.485002,23.157341,22.676659,0.260958,19486791.0
US,CSCO,2017-01-25,0.301205,23.034,22.928,22.9335,22.891,22.989106,22.928906,0.0602,0.0225,0.0754,63.211432,23.228069,22.638931,0.266604,21361161.0
US,CSCO,2017-01-26,0.1287,23.148,22.972,22.9455,22.896167,23.04309,22.959358,0.083732,0.034747,0.097971,63.957102,23.282693,22.608307,0.263275,22011324.8
US,CSCO,2017-01-27,0.814053,23.282,23.044,22.977,22.903333,23.117999,23.001628,0.116372,0.051072,0.1306,68.334688,23.398478,22.555522,0.263755,21152832.2
US,CSCO,2017-01-30,-0.509987,23.366,23.102,23.001,22.911167,23.162922,23.031877,0.131045,0.067066,0.127957,63.120378,23.461864,22.540136,0.264916,20818132.2
US,CSCO,2017-01-31,-0.341734,23.384,23.158,23.03,22.918667,23.188627,23.053961,0.134666,0.080586,0.10816,59.842028,23.49699,22.56301,0.263136,19151910.2
US,CSCO,2017-02-01,-0.728676,23.354,23.194,23.0385,22.924333,23.184223,23.061815,0.122407,0.088951,0.066914,53.484905,23.508448,22.568552,0.267912,18033652.2
US,CSCO,2017-02-02,2.24525,23.422,23.285,23.0795,22.940167,23.260496,23.107607,0.152889,0.101738,0.102302,65.542839,23.618071,22.540929,0.290204,19501635.4
US,CSCO,2017-02-03,0.422297,23.472,23.377,23.123,22.948333,23.34042,23.157414,0.183006,0.117992,0.130028,67.298451,23.735278,22.510722,0.281618,20067014.4
US,CSCO,2017-02-06,-0.042052,23.544,23.455,23.1635,22.9555,23.406509,23.20279,0.203719,0.135137,0.137163,66.931201,23.831879,22.495121,0.272217,20325503.2
US,CSCO,2017-02-07,0.462768,23.654,23.519,23.2115,22.96,23.479354,23.252954,0.2264,0.15339,0.14602,68.93913,23.938364,22.484636,0.27063,20688923.2
US,CSCO,2017-02-08,-0.544389,23.772,23.563,23.2455,22.966833,23.520992,23.289772,0.231219,0.168956,0.124527,63.993716,24.005565,22.485435,0.267728,20874863.2
